Time;Hour;STA 4;STA 3;STA 2;STA 1
1;2020-06-28T16:59:07+02:00;0;0;0;0
2;2020-06-28T16:59:08+02:00;0;0;0;0
3;2020-06-28T16:59:09+02:00;0;0;0;0
4;2020-06-28T16:59:10+02:00;0;0;0;0
5;2020-06-28T16:59:11+02:00;0;0;0;0
6;2020-06-28T16:59:12+02:00;0;0;0;0
7;2020-06-28T16:59:13+02:00;0;0;0;0
8;2020-06-28T16:59:14+02:00;0;0;0;0
9;2020-06-28T16:59:15+02:00;0;0;0;0
10;2020-06-28T16:59:16+02:00;0;0;0;0
11;2020-06-28T16:59:17+02:00;0;0;0;0
12;2020-06-28T16:59:18+02:00;1;1;1;0
13;2020-06-28T16:59:19+02:00;1;1;1;0
14;2020-06-28T16:59:20+02:00;1;1;1;0
15;2020-06-28T16:59:21+02:00;1;1;1;0
16;2020-06-28T16:59:22+02:00;1;1;1;0
17;2020-06-28T16:59:23+02:00;1;1;1;0
18;2020-06-28T16:59:24+02:00;1;1;1;0
19;2020-06-28T16:59:25+02:00;1;1;1;0
20;2020-06-28T16:59:26+02:00;1;1;1;0
21;2020-06-28T16:59:27+02:00;1;1;1;0
22;2020-06-28T16:59:28+02:00;1;1;1;0
23;2020-06-28T16:59:29+02:00;1;1;1;0
24;2020-06-28T16:59:30+02:00;1;1;1;0
25;2020-06-28T16:59:31+02:00;1;1;1;0
26;2020-06-28T16:59:32+02:00;1;1;1;0
27;2020-06-28T16:59:33+02:00;1;1;1;0
28;2020-06-28T16:59:34+02:00;1;1;1;0
29;2020-06-28T16:59:35+02:00;1;1;1;0
30;2020-06-28T16:59:36+02:00;1;1;1;0
31;2020-06-28T16:59:37+02:00;1;1;1;0
32;2020-06-28T16:59:38+02:00;1;1;1;0
33;2020-06-28T16:59:39+02:00;1;1;1;0
34;2020-06-28T16:59:40+02:00;1;1;1;0
35;2020-06-28T16:59:41+02:00;1;1;1;0
36;2020-06-28T16:59:42+02:00;1;1;1;0
37;2020-06-28T16:59:43+02:00;1;1;1;0
