Time,Hour,0x00,0x01,0x02
1,2020-10-30T12:01:59-07:00,0,0,0
2,2020-10-30T12:02:00-07:00,0,0,0
3,2020-10-30T12:02:01-07:00,0,0,0
4,2020-10-30T12:02:02-07:00,0,0,0
5,2020-10-30T12:02:03-07:00,0,0,0
6,2020-10-30T12:02:04-07:00,0,0,0
7,2020-10-30T12:02:05-07:00,0,0,0
8,2020-10-30T12:02:06-07:00,0,0,0
9,2020-10-30T12:02:07-07:00,0,0,0
10,2020-10-30T12:02:08-07:00,0,0,0
11,2020-10-30T12:02:09-07:00,0,0,0
12,2020-10-30T12:02:10-07:00,0,0,0
13,2020-10-30T12:02:11-07:00,0,0,0
14,2020-10-30T12:02:12-07:00,0,0,0
15,2020-10-30T12:02:13-07:00,0,0,0
16,2020-10-30T12:02:14-07:00,0,0,0
17,2020-10-30T12:02:15-07:00,0,0,0
18,2020-10-30T12:02:16-07:00,0,0,0
19,2020-10-30T12:02:17-07:00,0,0,0
20,2020-10-30T12:02:18-07:00,0,0,0
21,2020-10-30T12:02:19-07:00,0,0,0
22,2020-10-30T12:02:20-07:00,0,0,0
23,2020-10-30T12:02:21-07:00,0,0,0
24,2020-10-30T12:02:22-07:00,0,0,0
25,2020-10-30T12:02:23-07:00,0,0,0
26,2020-10-30T12:02:24-07:00,0,0,0
27,2020-10-30T12:02:25-07:00,0,0,0
28,2020-10-30T12:02:26-07:00,0,0,0
29,2020-10-30T12:02:27-07:00,0,0,0
30,2020-10-30T12:02:28-07:00,0,0,0
31,2020-10-30T12:02:29-07:00,0,0,0
32,2020-10-30T12:02:30-07:00,0,17.422048,0
33,2020-10-30T12:02:31-07:00,0,23.319008,0
34,2020-10-30T12:02:32-07:00,0,24.897312,0
35,2020-10-30T12:02:33-07:00,0,23.960736,0
36,2020-10-30T12:02:34-07:00,0,25.200832,0
37,2020-10-30T12:02:35-07:00,0.000624,25.695136,0
38,2020-10-30T12:02:36-07:00,0,23.475104,0
39,2020-10-30T12:02:37-07:00,0,24.80192,0
40,2020-10-30T12:02:38-07:00,0,24.481056,0
41,2020-10-30T12:02:39-07:00,0,24.697856,0
42,2020-10-30T12:02:40-07:00,0,24.819264,0
43,2020-10-30T12:02:41-07:00,0,24.350976,0
44,2020-10-30T12:02:42-07:00,0.029184,22.842048,0
45,2020-10-30T12:02:43-07:00,0.004864,22.538528,0
46,2020-10-30T12:02:44-07:00,0.004864,23.466432,0
47,2020-10-30T12:02:45-07:00,0.004864,24.15152,0
48,2020-10-30T12:02:46-07:00,0.004864,21.11632,0
49,2020-10-30T12:02:47-07:00,0.005488,23.171584,0
50,2020-10-30T12:02:48-07:00,0.004864,22.408448,0
51,2020-10-30T12:02:49-07:00,0.004864,23.319008,0
52,2020-10-30T12:02:50-07:00,0.004864,23.613856,0
53,2020-10-30T12:02:51-07:00,0.004864,6.564704,0
54,2020-10-30T12:02:52-07:00,0.004864,6.772832,0
55,2020-10-30T12:02:53-07:00,0.004864,6.902912,0
56,2020-10-30T12:02:54-07:00,0.004864,6.824864,0
57,2020-10-30T12:02:55-07:00,0.004864,7.06768,0
58,2020-10-30T12:02:56-07:00,0.004864,6.209152,0
59,2020-10-30T12:02:57-07:00,0.004864,5.37664,0
60,2020-10-30T12:02:58-07:00,0.004864,5.8536,0
61,2020-10-30T12:02:59-07:00,0.004864,5.81024,0
62,2020-10-30T12:03:00-07:00,0.004864,6.044384,0
63,2020-10-30T12:03:01-07:00,0.004864,6.269856,0
64,2020-10-30T12:03:02-07:00,0.004864,6.599392,0
65,2020-10-30T12:03:03-07:00,0.004864,6.382592,0
66,2020-10-30T12:03:04-07:00,0.004864,6.434624,0
